,Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumWebPurchases,NumWebVisitsMonth,Month_Customer,Age,Children,Is_Parent,Family_Size,Total_Compaign_Accepted,Offline Purchases,KMean_cluster
0,2,58138.0,58,635,88,546,172,88,88,8,7,28,58,0,0,1,0,17,0
1,2,46344.0,38,11,1,6,2,1,6,1,5,10,61,2,1,3,0,5,3
2,2,71613.0,26,426,49,127,111,21,42,8,4,17,50,0,0,2,0,13,0
3,2,26646.0,26,11,4,20,10,3,5,2,6,11,31,1,1,3,0,6,1
4,4,58293.0,94,173,43,118,46,27,15,5,5,12,34,1,1,3,0,14,3
5,3,62513.0,16,520,42,98,0,42,14,6,6,16,48,1,1,3,0,16,2
6,2,55635.0,34,235,65,164,50,49,27,7,6,26,44,1,1,2,0,14,2
7,4,33454.0,32,76,10,56,3,1,23,4,8,20,30,1,1,3,0,6,3
8,4,30351.0,19,14,0,24,3,3,2,3,9,19,41,1,1,3,0,3,3
9,4,5648.0,68,28,0,6,1,1,13,1,20,10,65,2,1,4,1,1,3
11,1,7500.0,59,6,16,11,11,1,16,2,8,26,39,0,0,2,0,4,1
12,2,63033.0,82,194,61,480,225,112,30,3,2,14,56,0,0,1,0,13,0
13,3,59354.0,53,233,2,53,3,5,14,6,6,14,63,2,1,3,0,9,3
14,2,17323.0,38,3,14,17,6,1,5,1,8,27,28,0,0,2,0,4,1
15,4,82800.0,23,1006,22,115,59,68,45,7,3,26,69,0,0,1,2,19,0
16,2,41850.0,51,53,5,19,2,13,4,3,8,25,35,2,1,4,0,6,3
17,2,37760.0,20,84,5,38,150,12,28,4,7,29,69,0,0,2,0,9,1
18,3,76995.0,91,1012,80,498,0,16,176,11,5,22,66,1,1,3,1,15,2
19,0,33812.0,86,4,17,19,30,24,39,2,6,26,30,1,1,2,0,6,1
20,2,37040.0,41,86,2,73,69,38,48,4,8,29,33,0,0,2,0,8,1
21,2,2447.0,42,1,1,1725,1,1,1,0,1,24,36,1,1,3,0,43,2
22,4,58607.0,63,867,0,86,0,0,19,2,8,25,66,1,1,3,1,15,2
23,4,65324.0,0,384,0,102,21,32,5,6,4,12,61,1,1,3,0,14,3
24,2,40689.0,69,270,3,27,39,6,99,7,8,22,64,1,1,3,0,13,2
25,2,18589.0,89,6,4,25,15,12,13,2,7,24,46,0,0,1,0,6,1
26,2,53359.0,4,173,4,30,3,6,41,5,7,20,39,2,1,4,0,9,3
28,2,38360.0,26,36,2,42,20,21,10,2,3,20,26,1,1,3,0,7,1
29,4,84618.0,96,684,100,801,21,66,0,6,2,14,50,0,0,2,1,20,0
30,3,10979.0,34,8,4,10,2,2,4,3,5,8,26,0,0,1,0,5,1
